id,match_date,team_1,team_2,t1_points,t2_points,t1_world_rank,t2_world_rank,winner
0,2016-12-18,CLOUD9,HELLRAISERS,13,16,9,20,t2
1,2016-12-18,IMMORTALS,G2,17,19,13,10,t2
2,2016-12-18,MOUSESPORTS,IMMORTALS,16,3,12,13,t1
3,2016-12-18,DIGNITAS,G2,16,9,6,10,t1
4,2016-12-18,OPTIC,HELLRAISERS,16,10,4,20,t1
5,2016-12-17,FAZE,IMMORTALS,16,11,8,13,t1
6,2016-12-17,NIP,OPTIC,9,16,3,4,t2
7,2016-12-17,CLOUD9,RENEGADES,16,9,9,19,t1
8,2016-12-17,GODSENT,HELLRAISERS,16,11,17,20,t1
9,2016-12-16,FAZE,OPTIC,16,11,8,4,t1
10,2016-12-16,GODSENT,DIGNITAS,16,11,17,6,t1
11,2016-12-16,G2,ENVY,16,12,10,11,t1
12,2016-12-16,NIP,HELLRAISERS,17,19,3,20,t2
13,2016-12-15,G2,GODSENT,11,16,10,17,t2
14,2016-12-15,MOUSESPORTS,HELLRAISERS,6,16,12,20,t2
15,2016-12-15,NIP,RENEGADES,16,9,3,19,t1
16,2016-12-15,FAZE,CLOUD9,19,17,8,9,t1
17,2016-12-15,ENVY,IMMORTALS,11,16,11,13,t2
18,2016-12-12,OPTIC,ASTRALIS,0,2,6,4,t2
19,2016-12-11,ASTRALIS,SK,2,0,4,2,t1
20,2016-12-11,ENVY,OPTIC,0,2,13,6,t2
21,2016-12-11,DIGNITAS,SK,1,2,5,2,t2
22,2016-12-11,FAZE,OPTIC,1,2,8,6,t2
23,2016-12-10,SK,IMMORTALS,2,0,2,12,t1
24,2016-12-10,OPTIC,CLOUD9,2,1,6,7,t1
25,2016-12-10,DIGNITAS,ENVY,3,16,5,13,t2
26,2016-12-10,IMMORTALS,ENVY,19,22,12,13,t2
27,2016-12-09,SK,DIGNITAS,7,16,2,5,t2
28,2016-12-09,ASTRALIS,FAZE,16,3,4,8,t1
29,2016-12-09,FAZE,CLOUD9,16,6,8,7,t1
30,2016-12-09,ASTRALIS,OPTIC,16,7,4,6,t1
31,2016-12-04,CLOUD9,IMMORTALS,0,2,5,11,t2
32,2016-12-03,ASTRALIS,OPTIC,1,2,8,13,t2
33,2016-12-03,OPTIC,FAZE,2,0,13,9,t1
34,2016-12-02,SK,ASTRALIS,0,2,1,8,t2
35,2016-12-01,VIRTUS.PRO,FAZE,1,2,3,9,t2
36,2016-12-01,MOUSESPORTS,OPTIC,0,2,14,13,t2
37,2016-11-30,ASTRALIS,NIP,2,1,8,2,t1
38,2016-11-30,DIGNITAS,SK,1,2,4,1,t2
39,2016-11-27,MOUSESPORTS,NIP,16,7,14,2,t1
40,2016-11-27,NIP,MOUSESPORTS,16,9,2,14,t1
41,2016-11-27,ENVY,NIP,13,16,11,2,t2
42,2016-11-27,NIP,ENVY,12,16,2,11,t2
43,2016-11-27,GODSENT,ASTRALIS,7,16,17,9,t2
44,2016-11-27,ASTRALIS,GODSENT,16,3,9,17,t1
45,2016-11-26,GODSENT,FAZE,16,7,17,8,t1
46,2016-11-26,FAZE,GODSENT,16,8,8,17,t1
47,2016-11-26,GODSENT,GAMBIT,1,2,17,20,t2
48,2016-11-26,ASTRALIS,G2,16,2,9,7,t1
49,2016-11-26,G2,ASTRALIS,17,19,7,9,t2
50,2016-11-25,GAMBIT,CLOUD9,2,1,20,6,t1
51,2016-11-25,DIGNITAS,MOUSESPORTS,11,16,4,14,t2
52,2016-11-25,MOUSESPORTS,DIGNITAS,16,9,14,4,t1
